timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
0.0101,0.1216,0.0102,0.0015,1.1671,0.0000,0.0000,11.6580,-2.4327,0.0000,1500,1500,0.0000,-0.0663,0.9291,9.7046,1.1679,0.3549,0.1398,-0.0241,0.9443,9.8031,1.1664,0.1373,0.1660
0.0284,0.3550,-0.0161,0.0048,1.7702,0.0000,0.0000,34.0379,-7.1029,0.0000,1500,1500,0.0000,0.1132,0.9530,9.7429,0.8549,-0.0573,0.1322,-0.0409,1.0233,9.8916,2.6855,-0.1833,0.2271
0.0467,0.5477,0.0064,0.0066,0.3809,0.0000,-0.0000,52.5239,-10.9604,0.0000,1500,1500,0.0000,-0.1070,0.9267,9.7094,0.3969,0.0037,0.0100,-0.0385,0.9778,9.7480,0.3649,-0.0765,0.1889
0.0649,0.7323,0.0010,0.0080,0.2587,0.0000,-0.0000,70.2250,-14.6542,0.0000,1500,1500,0.0000,0.0223,0.9435,9.8315,0.2824,-0.0650,0.0558,-0.0265,0.9203,9.7695,0.2351,-0.0077,0.0897
0.0831,0.8639,-0.0111,0.0088,-0.0046,0.0000,-0.0000,82.8388,-17.2864,0.0000,1500,1500,0.0000,0.0630,0.7447,9.8028,0.0839,-0.1184,-0.0358,0.0046,0.8485,9.9036,-0.0931,0.2289,0.1279
0.1013,1.0210,-0.0259,0.0076,0.0221,0.0000,-0.0000,97.9060,-20.4305,0.0124,1500,1499,0.0003,0.0821,0.8908,9.8124,0.0228,0.1564,-0.0663,-0.0337,0.8557,9.9036,0.0214,0.0304,-0.0630
0.1194,1.1805,-0.0183,0.0051,0.0794,0.0000,-0.0000,113.1963,-23.6314,0.9989,1500,1499,0.0230,-0.0136,0.9267,9.8578,0.1450,0.2862,-0.1121,-0.0289,0.9538,9.7743,0.0137,0.1144,-0.1622
0.1376,1.3348,0.0110,0.0029,-0.1764,0.0000,-0.0000,127.9994,-26.7322,3.6758,1502,1497,0.0747,-0.1405,0.9435,9.7621,-0.0306,0.1335,-0.0358,-0.0696,0.9515,9.8031,-0.3221,-0.2368,-0.2004
0.1558,1.4656,-0.0153,0.0017,-0.1535,0.0000,-0.0000,140.5377,-29.3619,7.4213,1504,1495,0.1374,0.1109,0.8597,9.8195,-0.1222,-0.2253,-0.1274,-0.0457,0.9586,9.9084,-0.1847,-0.1299,-0.0019
0.1740,1.6027,-0.0127,0.0008,-0.1764,0.0000,-0.0000,184.4186,-32.1195,14.7366,1508,1491,0.2177,-0.0232,0.9075,9.7573,-0.2291,-0.1413,0.0558,-0.1390,0.8629,9.8342,-0.1237,-0.2291,-0.1393
0.1922,1.7395,0.0052,0.0001,-0.3100,0.0000,-0.0000,200.1635,-34.8734,22.7093,1512,1487,0.3090,-0.0950,0.9506,9.8147,-0.2520,-0.1718,-0.1197,0.1315,0.9227,9.7743,-0.3679,-0.0154,0.0439
0.2103,1.8821,0.0063,-0.0027,-0.1497,0.0000,-0.0000,216.5712,-37.7440,32.7568,1518,1481,0.4120,-0.0160,0.9913,9.8578,-0.1909,-0.1108,-0.1884,0.0070,1.0376,9.7839,-0.1084,-0.1146,-0.1088
0.2285,1.9683,-0.0187,-0.0043,-0.2718,0.0000,-0.0000,226.4940,-39.4883,39.6057,1521,1478,0.4762,0.0965,0.7519,9.8147,-0.1375,-0.0802,-0.0129,-0.0193,0.8629,9.8174,-0.4061,-0.4658,-0.1469
0.2466,2.0965,-0.0317,-0.0066,-0.2489,0.0000,-0.0000,241.2455,-42.0731,50.6848,1527,1472,0.5722,0.0486,0.9578,9.7022,-0.1222,-0.2787,-0.1350,-0.0241,0.9131,9.9443,-0.3756,-0.1299,-0.1011
0.2647,2.2115,-0.0259,-0.0122,-0.3558,0.0000,-0.0000,254.4804,-44.3955,61.3305,1533,1466,0.6563,-0.0400,0.9267,9.7190,-0.2673,-0.2634,-0.3182,-0.1031,1.0161,9.9730,-0.4443,-0.2139,-0.2691
0.2829,2.3292,-0.0352,-0.0189,-0.6153,0.0000,-0.0000,268.0244,-46.7728,72.6434,1539,1460,0.7380,0.0271,0.9889,9.7884,-0.4963,-0.4085,-0.3029,0.0070,0.9347,9.8461,-0.7344,-0.1223,-0.4065
0.3010,2.4504,-0.0488,-0.0247,-1.0275,0.0000,-0.0000,281.9723,-49.2215,84.4015,1546,1453,0.8150,0.0845,1.0656,9.8028,-0.8474,0.2327,-0.2190,-0.0912,0.9562,10.1406,-1.2076,-0.0230,-0.4218
0.3192,2.5516,-0.0385,-0.0339,-1.6497,0.0000,-0.0000,293.6123,-51.2700,94.0135,1551,1448,0.8717,-0.0687,1.0608,9.9871,-1.3894,-0.2253,-0.2800,0.1315,1.0664,10.0018,-1.9099,-0.3513,-0.6966
0.3373,2.6440,-0.0166,-0.0426,-2.6687,0.0000,-0.0000,304.2525,-53.1457,102.4032,1556,1443,0.9162,-0.0927,1.0823,9.5610,-2.3894,0.1106,-0.3335,0.0190,0.9108,9.9419,-2.9481,-0.0535,-0.6279
0.3555,2.7076,0.0152,-0.0506,-3.3787,0.0000,-0.0000,311.5612,-54.4431,107.8329,1559,1440,0.9421,-0.1190,1.0536,9.8722,-3.2291,0.3320,-0.3716,0.0166,1.0137,9.9060,-3.5282,0.3816,-0.5363
0.3736,2.7317,0.0324,-0.0585,-3.8405,0.0000,-0.0000,314.3420,-54.9537,109.8160,1560,1439,0.9508,-0.0520,0.9123,9.8267,-3.6871,0.5457,-0.5319,-0.0265,0.8294,9.8773,-3.9939,0.1755,-0.3760
0.3918,2.7573,0.0356,-0.0670,-4.2832,0.0000,-0.0000,317.2899,-55.4936,111.8557,1561,1438,0.9594,-0.0136,0.9650,9.8914,-4.0993,0.0801,-0.5319,0.0166,1.0376,9.8964,-4.4672,0.0610,-0.4218
0.4099,2.7735,0.0365,-0.0781,-4.6306,0.0000,-0.0000,319.1482,-55.8443,113.1114,1562,1437,0.9644,-0.0136,0.9530,9.8794,-4.4276,-0.1337,-0.6541,0.0262,1.0376,9.9204,-4.8336,0.0152,-0.5744
0.4281,2.7621,0.0325,-0.0867,-5.2680,0.0000,-0.0000,317.8417,-55.6449,112.2541,1561,1438,0.9609,0.0055,0.8740,9.7812,-5.1375,-0.1108,-0.4403,-0.0481,0.7910,9.8845,-5.3985,-0.1223,-0.5057
0.4462,2.7126,0.0524,-0.0980,-5.2642,-0.0404,-0.2538,312.8775,-54.6822,108.5102,1559,1440,0.9440,-0.1046,0.6969,9.8890,-5.2215,-0.0726,-0.7686,0.1076,0.6953,9.8294,-5.3069,0.0075,-0.4676
0.4644,2.6724,0.0499,-0.1128,-5.0046,-0.2288,-0.9825,310.3484,-53.9046,105.6882,1558,1441,0.9283,-0.0041,0.7112,9.9081,-5.1069,-0.2940,-0.9594,-0.0098,0.7336,9.7935,-4.9023,0.0610,-0.6660
0.4826,2.6254,0.0398,-0.1254,-4.7832,-0.4632,-1.3676,306.0488,-52.9908,101.8578,1556,1443,0.9079,0.0342,0.6394,9.7549,-4.8703,-0.2024,-0.8068,0.0429,0.8437,9.8892,-4.6962,0.0304,-0.5744
0.5008,2.5929,0.0174,-0.1390,-4.4092,-0.6310,-1.0225,301.3151,-52.3667,98.6766,1554,1445,0.8926,0.1109,0.6753,9.8147,-4.3894,0.0343,-0.7686,0.0597,0.6881,9.9228,-4.4290,0.1526,-0.7424
0.5189,2.5746,0.0181,-0.1534,-4.7642,-0.8916,-1.8511,301.5949,-52.0264,97.5951,1553,1446,0.8835,0.0271,0.7687,9.8363,-4.5192,0.3091,-0.7533,-0.0026,0.7958,9.8988,-5.0092,0.3816,-0.8721
0.5371,2.5465,0.0547,-0.1681,-5.3558,-1.3405,-3.8157,304.0129,-51.4887,96.3503,1552,1447,0.8691,-0.1693,0.7735,9.8722,-5.3436,0.1793,-0.7762,0.0262,0.7695,9.8605,-5.3679,0.0152,-0.8569
0.5552,2.5341,0.0432,-0.1857,-5.3519,-1.7790,-4.1257,303.4866,-51.2674,95.4016,1552,1447,0.8625,0.0510,0.8405,9.8339,-5.3054,0.1030,-1.0739,0.0597,0.8270,9.8677,-5.3985,-0.0535,-0.8721
0.5734,2.5410,0.0287,-0.2017,-5.8367,-2.3873,-6.5712,311.3163,-51.4296,97.7740,1553,1446,0.8662,0.0606,0.9698,9.8100,-5.4810,-0.3016,-0.9442,0.1195,0.9491,9.8677,-6.1924,0.2365,-0.8340
0.5916,2.5430,0.0495,-0.2126,-6.8558,-3.3932,-13.1674,330.5430,-51.4949,102.5902,1556,1443,0.8672,-0.0280,1.0344,9.7932,-6.4123,0.9045,-0.6312,0.0309,1.0089,9.8557,-7.2992,0.8090,-0.6508
0.6249,2.4882,0.0499,-0.2207,-8.4397,-4.9089,-31.6163,377.3773,-50.4251,109.5555,1560,1439,0.8371,-0.0065,0.8668,9.9560,-8.2673,0.0419,-0.6617,0.0309,0.7647,9.9491,-8.6122,0.0304,-0.4141
0.6432,2.4141,0.0356,-0.2299,-9.1458,-5.9844,-30.5965,365.9073,-48.9662,126.9269,1569,1430,0.9999,0.0678,0.8668,9.8243,-8.7863,-0.0497,-0.4709,0.0836,0.7551,9.9419,-9.5053,0.2213,-0.5592
0.6613,2.3518,0.0284,-0.2390,-10.4092,-6.6485,-36.5341,375.8416,-47.7442,129.1078,1571,1428,1.0000,0.0654,1.0177,9.8219,-9.9924,0.3015,-0.5090,0.1291,0.9538,9.9276,-10.8260,0.5571,-0.5363
0.6795,2.2333,0.0546,-0.2419,-11.5352,-7.3815,-40.3978,373.3273,-45.3956,127.2294,1569,1430,1.0000,-0.0807,0.8357,9.8435,-11.2367,0.6144,-0.2571,-0.0265,0.8437,9.8629,-11.8336,0.5266,-0.1088
