timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
2089.8078,-1.1028,0.6857,-85.6388,-8.0454,-6.5943,-12.7194,-87.5460,40.7906,-50.7382,1500,1500,1.0000,-0.2079,-0.1907,9.8484,-7.8947,-1.0103,0.2431,-0.1603,-0.1632,9.7707,-8.1962,-0.6992,0.7421
2089.8282,-1.2589,0.6620,-85.6257,-8.0111,-6.8068,-10.4321,-111.7075,43.3783,-59.5393,1500,1500,1.0000,-0.1169,-0.1644,9.8484,-7.7039,-1.3003,0.3270,-0.1101,-0.0914,9.8928,-8.3183,-0.9893,0.9558
2089.8491,-1.4197,0.6638,-85.6153,-7.9577,-6.9794,-8.2346,-136.1462,46.0462,-68.4716,1500,1500,1.0000,-0.1552,-0.1955,9.8484,-7.5588,-1.3232,0.3499,-0.1627,-0.2279,9.8186,-8.3565,0.7435,0.6428
2089.8684,-1.5904,0.6506,-85.6073,-8.4042,-7.1931,-11.0684,-147.2146,48.8798,-73.4923,1500,1500,1.0000,-0.1025,-0.2889,9.9538,-8.0474,-1.5294,0.1438,-0.1148,-0.2853,9.8641,-8.7611,0.6748,0.7192
2089.8877,-1.7711,0.6149,-85.5970,-8.9157,-7.4515,-13.4422,-160.7249,51.8789,-79.3448,1500,1500,1.0000,-0.0882,-0.3272,10.0567,-8.5665,-1.7660,0.2049,-0.1268,-0.2566,9.9072,-9.2649,-1.3481,0.8413
2089.9071,-1.9740,0.5875,-85.5814,-9.6294,-7.7782,-16.7924,-173.9225,55.2462,-85.3245,1500,1500,1.0000,-0.1097,-0.3894,10.1214,-9.2000,-1.5828,0.5331,-0.1532,-0.3571,10.0604,-10.0588,-1.3023,1.0398
2089.9263,-2.2035,0.5851,-85.5652,-11.6561,-8.3599,-30.2391,-161.0390,59.0549,-83.7446,1500,1500,1.0000,-0.1983,-0.3583,9.7838,-12.0016,-1.5981,0.6400,-0.1915,-0.3332,10.0964,-11.3107,-0.9129,0.9787
2089.9456,-2.4172,0.5816,-85.5452,-11.5302,-8.8354,-24.7067,-201.0355,62.6049,-97.8736,1500,1500,1.0000,-0.1959,-0.3487,9.8867,-11.1084,-1.5065,0.6858,-0.2393,-0.3643,10.0533,-11.9519,-1.0961,1.3451
2089.9649,-2.6476,0.6031,-85.5192,-12.7477,-9.4223,-30.3993,-210.5852,66.4328,-103.0353,1500,1500,1.0000,-0.3563,-0.3655,10.1142,-12.0092,-1.8729,0.9530,-0.2370,-0.3260,9.8833,-13.4863,-1.6763,1.6581
2089.9841,-2.9166,0.5800,-85.4939,-14.4996,-10.1839,-39.5797,-214.4419,70.9010,-106.8732,1500,1500,1.0000,-0.2079,-0.4229,9.9945,-13.9863,-2.4530,0.9759,-0.1603,-0.5128,10.0269,-15.0130,-2.3862,1.4596
2090.0033,-3.1966,0.5317,-85.4627,-14.9119,-10.8931,-36.9697,-253.4844,75.5521,-121.3766,1500,1500,1.0000,-0.1337,-0.4780,10.0855,-15.5817,-3.1095,1.1667,-0.2274,-0.4409,10.0652,-14.2420,-2.8061,1.8337
2090.0226,-3.5071,0.5077,-85.4291,-15.5989,-11.5989,-36.5804,-289.5812,80.7116,-135.3013,1500,1500,1.0000,-0.2438,-0.6097,10.1453,-15.6581,-3.2851,1.2202,-0.2633,-0.6660,10.1658,-15.5397,-2.6687,2.0245
2090.0418,-3.7896,0.4706,-85.3899,-15.2859,-12.1520,-28.8110,-343.7622,85.4093,-154.3743,1500,1500,1.0000,-0.1624,-0.5905,10.2435,-14.6886,-3.2316,1.5026,-0.0406,-0.4481,10.9631,-15.8832,-2.2412,2.3298
2090.0610,-4.0396,0.4098,-85.3469,-15.2935,-12.6232,-24.5982,-384.0501,89.5747,-168.9598,1500,1500,1.0000,0.0483,-0.4660,10.9115,-17.7878,-2.4377,1.9377,-0.2154,-0.4242,9.6774,-12.7992,-1.2106,2.2840
2090.0803,-4.2898,0.2861,-85.3112,-12.3088,-12.5761,2.4406,-490.1076,93.7470,-203.2805,1500,1500,1.0000,0.2805,-0.8443,10.7989,-11.2306,-2.9034,2.2431,0.1006,-0.6373,10.1371,-13.3870,-2.6076,0.7726
2090.0996,-4.4949,0.2525,-85.2572,-11.9119,-12.4764,5.1687,-521.0603,97.1756,-214.6234,1500,1500,1.0000,-0.0882,-0.6600,10.3392,-12.0550,-2.5752,2.3347,-0.0406,-0.5822,10.1347,-11.7687,-2.0122,3.0092
2090.1190,-4.6854,0.2064,-85.2008,-11.6256,-12.3488,6.5566,-546.5157,100.3661,-224.1744,1500,1500,1.0000,0.0052,-0.6264,10.0160,-11.6352,-2.5370,2.4110,0.0384,-0.6468,10.3621,-11.6160,-1.2946,3.1695
2090.1384,-4.8590,0.2168,-85.1400,-11.4119,-12.2083,7.2527,-568.0739,103.2792,-232.3897,1500,1500,1.0000,-0.2127,-0.6312,10.4159,-11.3451,-1.7431,2.7774,-0.0263,-0.6061,10.0173,-11.4786,-1.3939,3.3222
2090.1577,-4.9919,0.2134,-85.0719,-10.0073,-11.8781,17.1387,-611.5124,105.5217,-246.7668,1500,1500,1.0000,-0.1097,-0.5857,10.0687,-9.8336,-1.8729,3.0980,-0.1771,-0.5535,10.3861,-10.1809,-0.4931,3.8795
2090.1769,-5.1045,0.2466,-85.0002,-10.2134,-11.6284,13.0092,-612.2985,107.4302,-248.1476,1500,1500,1.0000,-0.1696,-0.5235,10.4661,-9.6886,-0.2240,3.4950,-0.1651,-0.5128,10.0652,-10.7382,0.2397,4.0550
2090.1963,-5.2283,0.2789,-84.9229,-11.2019,-11.5644,3.2867,-598.2478,109.5261,-245.1900,1500,1500,1.0000,-0.2390,-0.4804,10.0543,-10.7497,-0.9110,3.6553,-0.2441,-0.3835,10.0652,-11.6542,-0.9435,4.1848
2090.2156,-5.3522,0.3045,-84.8466,-12.2897,-11.6732,-5.6578,-586.4348,111.6227,-242.9041,1500,1500,1.0000,-0.2127,-0.4134,10.1669,-11.9481,-1.3767,3.5942,-0.3399,-0.4601,10.1562,-12.6313,-0.2565,4.2306
2090.2347,-5.5038,0.3670,-84.7686,-13.2134,-11.9042,-12.0528,-585.0927,114.1791,-244.0353,1500,1500,1.0000,-0.2677,-0.4804,10.0831,-12.9100,-0.0561,3.8079,-0.2178,-0.4816,10.0796,-13.5168,1.1329,4.4825
2090.2540,-5.6699,0.4540,-84.6907,-13.7897,-12.1871,-14.6769,-596.2526,116.9777,-249.0624,1500,1500,1.0000,-0.3108,-0.5139,10.0591,-13.8642,1.0355,3.9682,-0.2465,-0.5128,9.9264,-13.7153,1.7054,4.3985
2090.2733,-5.8354,0.5455,-84.6095,-14.1027,-12.4744,-14.9187,-614.1947,119.7662,-256.1182,1500,1500,1.0000,-0.3563,-0.5211,10.1022,-13.7573,0.9134,4.1209,-0.3136,-0.4553,9.9312,-14.4481,1.5680,4.5436
2090.2924,-5.9900,0.6022,-84.5254,-13.4271,-12.6173,-7.4523,-653.1089,122.3765,-269.3586,1500,1500,1.0000,-0.1863,-0.5570,10.0088,-13.2153,1.8218,4.4415,-0.3016,-0.5104,10.0604,-13.6389,0.9649,4.5741
2090.3117,-6.1381,0.6865,-84.4280,-13.0378,-12.6804,-3.2765,-681.8216,124.8821,-279.4757,1500,1500,1.0000,-0.2127,-0.5714,9.7766,-13.0092,2.5088,4.3118,-0.3184,-0.5559,9.6750,-13.0664,2.5374,6.5283
2090.3310,-6.2874,0.7771,-84.3637,-12.9195,-12.7163,-1.8588,-702.7202,127.4080,-287.2609,1500,1500,1.0000,-0.3204,-0.6097,9.8101,-12.9634,1.6844,4.1362,-0.3591,-0.6516,9.8067,-12.8756,2.2779,2.7268
2090.3502,-6.4252,0.8804,-84.2785,-11.9348,-12.5990,6.1045,-741.1751,129.7456,-300.1999,1500,1500,1.0000,-0.3707,-0.6695,9.7551,-12.1084,1.8447,4.6018,-0.3208,-0.6684,9.7061,-11.7611,2.4153,4.6657
