timestamp,roll_deg,pitch_deg,yaw_deg,omega_raw,omega_filtered,alpha,tau_ff,tau_pid,tau_total,pwm_left,pwm_right,deadzone_factor,accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z
902.7015,1.1168,1.5704,51.7354,-1.6655,0.0000,-0.0000,128.5099,-6.8562,39.4108,1521,1478,1.0000,-0.2548,0.1895,10.0805,-1.3740,1.1205,-0.5609,-0.3486,0.2194,9.6356,-1.9569,1.4818,-0.1713
902.7214,1.1038,1.6083,51.7350,-1.1006,0.0000,-0.0000,127.0082,-6.7928,38.9587,1521,1478,1.0000,-0.3266,0.2302,9.8076,-0.8091,1.0670,-0.0723,-0.2935,0.2481,9.6308,-1.3921,1.3978,-0.0415
902.7400,1.0960,1.6428,51.7334,-0.7838,0.0000,-0.0000,126.1214,-6.7599,38.6939,1521,1478,1.0000,-0.3098,0.2206,9.8172,-0.5648,1.2502,-0.0494,-0.3103,0.2888,9.6715,-1.0027,1.6268,-0.1942
902.7595,1.0686,1.6690,51.7319,-1.6044,0.0000,-0.0000,122.9681,-6.6143,37.7382,1520,1479,1.0000,-0.2643,0.2087,9.6974,-0.4122,1.4334,-0.2708,-0.1067,0.1404,9.7146,-2.7966,1.6421,0.0348
902.7782,1.0802,1.7057,51.7284,-0.2952,0.0000,0.0000,124.2990,-6.6911,38.1492,1520,1479,1.0000,-0.2595,0.2589,9.7214,-0.0305,3.0976,-0.4082,-0.2288,0.3510,9.6117,-0.5600,1.4970,-0.1255
902.7967,1.0943,1.7078,51.7237,-0.3983,0.0000,0.0000,125.9210,-6.7824,38.6491,1521,1478,1.0000,-0.2093,0.2805,9.6041,-0.2137,0.7846,-0.3929,-0.3510,0.2601,9.6356,-0.5829,1.1764,-0.2323
902.8153,1.1206,1.7140,51.7167,-0.2952,0.0000,0.0000,128.9486,-6.9435,39.5774,1521,1478,1.0000,-0.2188,0.3284,9.6352,-0.1526,0.8991,-0.6677,-0.3510,0.4157,9.6428,-0.4379,1.2909,-0.2629
902.8337,1.1880,1.7775,51.7106,0.1170,0.0000,0.0000,136.7007,-7.3394,41.9459,1523,1476,1.0000,-0.4966,0.4840,9.4724,0.2214,0.7998,-0.5151,-0.4395,0.3032,9.6284,0.0125,0.9627,-0.4003
902.8521,1.2269,1.7861,51.7021,0.4223,0.0000,0.0000,141.1821,-7.5737,43.3178,1523,1476,1.0000,-0.2811,0.3380,9.4365,0.5878,0.4640,-0.6525,-0.3940,0.3008,9.5063,0.2568,0.6650,-0.4079
902.8706,1.2594,1.7846,51.6898,0.4910,0.0000,0.0000,144.9172,-7.7713,44.4625,1524,1475,1.0000,-0.2404,0.3140,9.6208,0.7787,0.5632,-0.7899,-0.1738,0.3989,9.3986,0.2034,0.6879,-0.6674
902.8891,1.3084,1.7680,51.6727,0.4261,0.0000,0.0000,150.5585,-8.0638,46.1883,1525,1474,1.0000,-0.1686,0.3978,9.5083,0.7023,0.5479,-0.9502,-0.1666,0.3798,9.2502,0.1499,0.6802,-1.0568
902.9075,1.3496,1.7609,51.6560,0.3154,0.0000,0.0000,155.3027,-8.3123,47.6409,1526,1473,1.0000,-0.2141,0.3810,9.5275,0.6718,0.4334,-1.0723,-0.3725,0.4085,9.2645,-0.0409,0.5886,-0.8965
902.9259,1.3873,1.8028,51.6362,-0.0128,0.0000,-0.0000,159.6363,-8.5408,48.9686,1526,1473,1.0000,-0.4583,0.3954,9.4173,0.1909,0.1815,-1.1410,-0.4994,0.3918,9.3076,-0.2165,0.2069,-1.1407
902.9443,1.4250,1.8233,51.5969,-0.0815,0.0000,-0.0000,163.9718,-8.7699,50.2970,1527,1472,1.0000,-0.4319,0.4098,9.4077,0.1527,-0.4444,-1.1639,-0.3988,0.3965,9.3387,-0.3157,-0.7091,-3.0873
902.9627,1.4423,1.7756,51.5554,-0.0510,0.0000,-0.0000,165.9596,-8.8827,50.9101,1528,1471,1.0000,-0.1710,0.3284,9.5969,0.3359,-1.0322,-1.2861,-0.1020,0.3678,9.2597,-0.4379,-1.0221,-3.1407
902.9811,1.4650,1.7316,51.5114,-0.0204,0.0000,-0.0000,168.5778,-9.0271,51.7153,1528,1471,1.0000,-0.1901,0.3475,9.4197,0.2977,-1.3070,-1.5838,-0.1810,0.3654,9.3148,-0.3386,-1.1289,-3.1560
902.9996,1.4550,1.7357,51.4819,-0.1540,0.0000,-0.0000,167.4218,-8.9844,51.3703,1528,1471,1.0000,-0.3864,0.2135,9.5394,0.1832,-1.1391,-1.7059,-0.3869,0.3654,9.3292,-0.4913,-0.8618,-1.4308
903.0184,1.4687,1.7445,51.4499,-0.3601,0.0000,-0.0000,169.0082,-9.0776,51.8611,1528,1471,1.0000,-0.4319,0.3380,9.5179,0.0229,-1.3605,-1.7975,-0.2983,0.3415,9.4896,-0.7432,-1.1747,-1.6140
903.0372,1.4833,1.7194,51.4223,0.0635,0.0000,0.0000,170.6865,-9.1756,52.3800,1528,1471,1.0000,-0.2667,0.3068,9.4987,0.2825,-1.2002,-1.4769,-0.1905,0.3032,9.6213,-0.1554,-0.9610,-1.4384
903.0557,1.5033,1.6680,51.3919,0.3765,0.0000,0.0000,172.9829,-9.3044,53.0874,1529,1470,1.0000,-0.1111,0.3164,9.7118,0.6260,-0.9406,-1.8357,-0.0684,0.2936,9.8272,0.1270,-0.4495,-1.4766
903.0742,1.5436,1.5987,51.3598,1.2200,0.0000,0.0000,177.6171,-9.5494,54.5075,1529,1470,1.0000,-0.0249,0.3380,9.6496,0.9237,-1.6047,-1.7670,-0.2456,0.4109,10.8758,1.5163,-0.0526,-1.7285
903.0926,1.6606,1.6424,51.3298,0.7925,0.0000,0.0000,191.0889,-10.2333,58.6215,1532,1467,1.0000,-0.3840,0.7593,9.8219,0.9542,3.0670,-1.9807,-0.5832,0.1547,8.7378,0.6308,-0.9992,-1.6522
903.1110,1.6948,1.6145,51.3007,1.5902,0.0000,0.0000,195.0238,-10.4452,59.8293,1532,1467,1.0000,-0.2979,0.3188,10.0757,2.5802,-1.5208,-1.6219,-0.3462,0.3918,9.1831,0.6003,-1.8312,-1.4613
903.1294,1.7101,1.5970,51.2677,2.0864,0.0000,0.0000,196.7862,-10.5496,60.3749,1533,1466,1.0000,-0.3505,0.1871,9.7597,2.3512,-2.0551,-1.8662,-0.2001,0.1499,9.9995,1.8217,-1.6556,-1.5453
903.1478,1.7450,1.5810,51.2385,1.8383,0.0000,0.0000,200.7925,-10.7655,61.6047,1533,1466,1.0000,-0.3218,0.2973,9.6424,1.4504,-1.5666,-1.7899,-0.0253,0.2385,9.8415,2.2263,-1.3808,-1.3010
903.1663,1.7829,1.5404,51.2102,1.4643,0.0000,0.0000,205.1596,-10.9996,62.9445,1534,1465,1.0000,-0.1662,0.3499,9.7525,1.2748,-1.5360,-1.5609,-0.1427,0.3678,9.9301,1.6537,-0.4877,-1.4537
903.1848,1.8356,1.5158,51.1836,1.7620,0.0000,0.0000,211.2216,-11.3183,64.8012,1535,1464,1.0000,-0.2164,0.3906,9.5227,2.0458,-1.0169,-1.5303,-0.2456,0.3582,9.8487,1.4782,-0.7854,-1.3468
903.2033,1.8714,1.4873,51.1392,1.4681,0.0000,0.0000,215.3399,-11.5410,66.0657,1536,1463,1.0000,-0.2619,0.3667,9.9943,1.7863,-2.7269,-1.6448,-0.2935,0.3343,9.8008,1.1499,-0.4190,-3.1255
903.2217,1.8809,1.4591,51.1111,1.3612,0.0000,0.0000,216.4394,-11.6142,66.4101,1536,1463,1.0000,-0.1231,0.2566,10.0590,1.5191,-0.2994,-1.4540,-0.2719,0.3008,9.9708,1.2034,0.2375,-1.5529
903.2401,1.8966,1.4596,51.1050,1.3765,0.0000,0.0000,218.2451,-11.7227,66.9700,1536,1463,1.0000,-0.2835,0.2757,9.7884,1.4581,-0.3834,-1.2174,0.0249,0.3463,9.7865,1.2950,-0.2282,0.6990
903.2585,1.9132,1.4535,51.0819,1.0101,0.0000,-0.0000,220.1542,-11.8364,67.5614,1537,1462,1.0000,-0.2763,0.3284,10.1763,1.3741,-0.6582,-1.2861,-0.2193,0.3056,9.6907,0.6461,-0.4266,-1.1713
903.2769,1.9252,1.4444,51.0587,0.9109,0.0000,-0.0000,221.5309,-11.9238,67.9906,1537,1462,1.0000,-0.2069,0.3164,10.2122,1.4275,-0.0551,-1.2784,-0.2624,0.3391,9.7625,0.3942,0.1382,-1.2323
903.2953,1.9560,1.4517,51.0359,2.2124,0.0000,0.0000,225.0751,-12.1189,69.0805,1537,1462,1.0000,-0.2955,0.2973,10.0470,1.5726,-0.0475,-1.3471,-0.3557,0.3439,9.9732,2.8522,-0.2434,-1.0797
903.3138,1.9543,1.4194,51.0123,1.3689,0.0000,0.0000,224.8803,-12.1288,69.0309,1537,1462,1.0000,-0.1255,0.2111,9.9321,1.4581,-0.7345,-1.3242,-0.2672,0.3822,9.8679,1.2797,0.0848,-1.1026
903.3322,1.9992,1.4014,50.9881,1.4032,0.0000,0.0000,230.0485,-12.4048,70.6160,1538,1461,1.0000,-0.1446,0.4361,10.0374,1.5344,-0.0246,-1.4464,-0.1762,0.3606,9.8200,1.2721,0.3749,-1.2247
903.3507,2.0314,1.4201,50.9657,1.5368,0.0000,0.0000,233.7532,-12.6086,71.7552,1539,1460,1.0000,-0.2979,0.3667,9.9967,1.8092,0.3876,-1.3166,-0.2073,0.3750,9.8391,1.2644,0.3749,-1.1178
903.3693,2.0676,1.4564,50.9463,1.5101,0.0000,0.0000,237.9144,-12.8354,73.0338,1540,1459,1.0000,-0.2643,0.3906,9.9776,1.8779,0.9067,-1.1563,-0.2312,0.3750,9.8056,1.1423,2.7795,-1.0720
903.3877,2.0868,1.5220,50.9227,1.9452,0.0000,0.0000,240.1280,-12.9659,73.7188,1540,1459,1.0000,-0.3721,0.2805,10.0302,2.3665,3.0976,-1.2784,-0.3366,0.3343,10.0235,1.5240,1.0390,-1.4003
903.4061,2.1206,1.5292,50.9003,2.3383,0.0000,0.0000,244.0150,-13.1797,74.9141,1541,1458,1.0000,-0.2093,0.3236,10.0087,2.4199,0.9220,-1.4693,-0.3390,0.2720,9.7386,2.2568,1.0161,-0.9575
903.4247,2.1670,1.5208,50.8787,2.9605,0.0000,0.0000,249.3588,-13.4661,76.5535,1542,1457,1.0000,-0.1255,0.3188,9.9393,2.7634,0.9525,-1.2326,-0.2504,0.9711,9.8224,3.1576,1.2527,-1.1331
903.4431,2.2045,1.5011,50.8567,3.7238,0.0000,0.0000,253.6763,-13.7020,77.8804,1542,1457,1.0000,-0.0728,0.2230,9.7118,3.7100,0.8991,-1.3471,0.0201,0.4468,9.8966,3.7377,1.3367,-0.9881
903.4615,2.2730,1.4881,50.8391,3.9414,0.0000,0.0000,261.5602,-14.1152,80.2945,1544,1455,1.0000,-0.0896,0.3523,9.6065,4.0153,0.9296,-1.0189,-0.0134,0.4205,9.9828,3.8675,1.5657,-0.9804
903.4799,2.3421,1.5053,50.8195,3.9872,0.0000,0.0000,269.5053,-14.5322,82.7276,1545,1454,1.0000,-0.2236,0.3667,9.7836,4.2138,0.9831,-1.1334,-0.1163,0.4037,9.8655,3.7606,1.6421,-1.0644
903.4985,2.4197,1.5374,50.8009,3.6933,0.0000,0.0000,278.4372,-14.9988,85.4618,1547,1452,1.0000,-0.3026,0.4337,9.5682,3.8779,0.9525,-0.9807,-0.2073,0.4013,9.9229,3.5087,1.2985,-1.1713
903.5170,2.4853,1.5727,50.7817,3.4414,0.0000,0.0000,285.9792,-15.3973,87.7728,1548,1451,1.0000,-0.3386,0.4098,9.5011,3.7558,0.5556,-1.1716,-0.1810,0.3965,10.0067,3.1270,1.3596,-0.9575
903.5354,2.5374,1.5867,50.7632,3.0177,0.0000,0.0000,291.9770,-15.7197,89.6134,1549,1450,1.0000,-0.2524,0.3930,9.4413,3.3206,0.4640,-1.0036,-0.2312,0.4109,10.1264,2.7148,1.2680,-1.0797
903.5538,2.5845,1.6081,50.7488,2.7429,0.0000,-0.0000,297.4034,-16.0144,91.2801,1550,1449,1.0000,-0.3074,0.4146,9.7214,3.0840,0.5632,-0.7059,-0.0828,0.3175,9.8535,2.4018,0.9627,-0.9499
903.5722,2.6320,1.6233,50.7364,1.0254,0.0000,-0.0000,302.8607,-16.3110,92.9565,1551,1448,1.0000,-0.1997,0.5199,9.1587,2.6489,1.3800,-0.7670,-0.1714,0.4564,9.5303,-0.5982,1.7260,-0.7896
903.5907,2.6639,1.6059,50.7237,1.3002,0.0000,-0.0000,306.5338,-16.5196,94.0893,1551,1448,1.0000,-0.1039,0.4816,9.7453,1.6565,0.9678,-0.7288,-0.2815,0.4325,9.4273,0.9438,1.0619,-0.7667
903.6092,2.6811,1.6290,50.7117,-0.1655,0.0000,-0.0000,308.5132,-16.6444,94.7059,1552,1447,1.0000,-0.2691,0.5391,9.5466,0.0229,0.0060,-0.8968,-0.5281,0.3295,10.2366,-0.3539,2.8176,-0.4995
903.6276,2.6731,1.6350,50.6983,-0.4403,0.0000,-0.0000,307.5953,-16.6257,94.4395,1551,1448,1.0000,-0.2356,0.4361,9.3120,-0.2366,0.3876,-0.8586,-0.3222,0.4061,10.2557,-0.6440,1.0390,-0.5987
903.6460,2.6470,1.6401,50.6880,-1.0357,0.0000,-0.0000,304.5931,-16.5035,93.5378,1551,1448,1.0000,-0.2428,0.4218,9.8363,-0.6946,0.6166,-0.6983,-0.1115,0.4133,9.3459,-1.3768,0.8863,-0.4079
903.6644,2.6064,1.6339,50.6740,-1.0777,0.0000,-0.0000,299.9146,-16.2978,92.1250,1550,1449,1.0000,-0.1853,0.3523,9.8603,-0.6946,0.7540,-0.7594,-0.3725,0.3989,9.7218,-1.4608,0.6497,-0.7667
903.6827,2.6059,1.6071,50.6621,-0.5891,0.0000,-0.0000,299.8632,-16.3213,92.1223,1550,1449,1.0000,-0.1039,0.4864,9.5969,-0.5725,0.3876,-0.9120,-0.5018,0.4540,9.8559,-0.6058,0.5428,-0.3239
903.7011,2.6110,1.6387,50.6540,-0.3563,0.0000,-0.0000,300.4528,-16.3766,92.3151,1550,1449,1.0000,-0.4080,0.5032,9.8890,-0.1374,0.1586,-0.5303,-0.4970,0.4061,9.4800,-0.5753,0.1764,-0.3545
